Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Mar 2 2013,Texas Christian,63,Texas Tech,72,,
Mon Mar 4 2013,Texas Tech,42,Kansas,79,,
Mon Mar 4 2013,Baylor,70,Texas,79,,
Tue Mar 5 2013,Texas Christian,68,Kansas State,79,,
Wed Mar 6 2013,Oklahoma State,76,Iowa State,87,,
Wed Mar 6 2013,West Virginia,70,Oklahoma,83,,
Sat Mar 9 2013,Kansas,58,Baylor,81,,
Sat Mar 9 2013,Kansas State,70,Oklahoma State,76,,
Sat Mar 9 2013,Oklahoma,67,Texas Christian,70,,
Sat Mar 9 2013,Texas,71,Texas Tech,69,OT,
Sat Mar 9 2013,Iowa State,83,West Virginia,74,,
Wed Mar 13 2013,Texas Christian,57,Texas,70,,Big 12 First Round
Wed Mar 13 2013,West Virginia,69,Texas Tech,71,,Big 12 First Round
Thu Mar 14 2013,Oklahoma State,74,Baylor,72,,Big 12 Quarterfinal Round
Thu Mar 14 2013,Oklahoma,66,Iowa State,73,,Big 12 Quarterfinal Round
Thu Mar 14 2013,Texas Tech,63,Kansas,91,,Big 12 Quarterfinal Round
Thu Mar 14 2013,Texas,49,Kansas State,66,,Big 12 Quarterfinal Round
Fri Mar 15 2013,Kansas,88,Iowa State,73,,Big 12 Semifinal Round
Fri Mar 15 2013,Oklahoma State,57,Kansas State,68,,Big 12 Semifinal Round
Sat Mar 16 2013,Kansas State,54,Kansas,70,,Big 12 Final
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Dec 31 2012,Cincinnati,70,Pittsburgh,61,,
Tue Jan 1 2013,Connecticut,76,Marquette,82,OT,
Wed Jan 2 2013,Seton Hall,73,DePaul,72,,
Wed Jan 2 2013,Providence,62,Louisville,80,,
Wed Jan 2 2013,Rutgers,53,Syracuse,78,,
Wed Jan 2 2013,St. John's (NY),86,Villanova,98,OT,
Sat Jan 5 2013,St. John's (NY),53,Cincinnati,52,,
Sat Jan 5 2013,Georgetown,48,Marquette,49,,
Sat Jan 5 2013,Seton Hall,74,Notre Dame,93,,
Sat Jan 5 2013,DePaul,83,Providence,73,,
Sat Jan 5 2013,Pittsburgh,62,Rutgers,67,,
Sun Jan 6 2013,Syracuse,55,South Florida,44,,
Mon Jan 7 2013,Notre Dame,66,Cincinnati,60,,
Tue Jan 8 2013,DePaul,78,Connecticut,99,,
Tue Jan 8 2013,Pittsburgh,73,Georgetown,45,,
Wed Jan 9 2013,Syracuse,72,Providence,66,,
Wed Jan 9 2013,Louisville,73,Seton Hall,58,,
Wed Jan 9 2013,Villanova,61,South Florida,53,,
Wed Jan 9 2013,Rutgers,58,St. John's (NY),56,,
Sat Jan 12 2013,South Florida,38,Louisville,64,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Jan 12 2013,Connecticut,65,Notre Dame,58,,
Sat Jan 12 2013,Marquette,74,Pittsburgh,67,OT,
Sat Jan 12 2013,Cincinnati,68,Rutgers,58,,
Sat Jan 12 2013,Georgetown,67,St. John's (NY),51,,
Sat Jan 12 2013,Villanova,61,Syracuse,72,,
Sun Jan 13 2013,Providence,67,Seton Hall,55,,
Mon Jan 14 2013,Louisville,73,Connecticut,58,,
Tue Jan 15 2013,Cincinnati,75,DePaul,70,,
Tue Jan 15 2013,Notre Dame,63,St. John's (NY),67,,
Wed Jan 16 2013,Providence,65,Georgetown,74,,
Wed Jan 16 2013,Seton Hall,62,Marquette,69,,
Wed Jan 16 2013,Pittsburgh,58,Villanova,43,,
Thu Jan 17 2013,South Florida,67,Rutgers,70,,
Sat Jan 19 2013,Marquette,69,Cincinnati,71,OT,
Sat Jan 19 2013,St. John's (NY),71,DePaul,62,,
Sat Jan 19 2013,Syracuse,70,Louisville,68,,
Sat Jan 19 2013,Rutgers,66,Notre Dame,69,,
Sat Jan 19 2013,Connecticut,61,Pittsburgh,69,,
Sat Jan 19 2013,Villanova,66,Providence,69,,
Sat Jan 19 2013,Georgetown,58,South Florida,61,,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Mon Jan 21 2013,Georgetown,63,Notre Dame,47,,
Mon Jan 21 2013,Cincinnati,55,Syracuse,57,,
Tue Jan 22 2013,Pittsburgh,68,Providence,64,,
Tue Jan 22 2013,Louisville,64,Villanova,73,,
Wed Jan 23 2013,St. John's (NY),72,Rutgers,60,,
Wed Jan 23 2013,South Florida,47,Seton Hall,55,,
Sat Jan 26 2013,Louisville,51,Georgetown,53,,
Sat Jan 26 2013,Providence,71,Marquette,81,,
Sat Jan 26 2013,DePaul,55,Pittsburgh,93,,
Sat Jan 26 2013,Notre Dame,73,South Florida,65,,
Sat Jan 26 2013,Syracuse,71,Villanova,75,OT,
Sun Jan 27 2013,Rutgers,54,Connecticut,66,,
Sun Jan 27 2013,Seton Hall,67,St. John's (NY),71,,
Mon Jan 28 2013,Pittsburgh,61,Louisville,64,,
Mon Jan 28 2013,South Florida,50,Marquette,63,,
Wed Jan 30 2013,Rutgers,54,Cincinnati,62,,
Wed Jan 30 2013,Seton Hall,52,Georgetown,74,,
Wed Jan 30 2013,Villanova,60,Notre Dame,65,,
Wed Jan 30 2013,DePaul,74,St. John's (NY),79,OT,
Thu Jan 31 2013,Connecticut,82,Providence,79,OT,
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Feb 2 2013,Notre Dame,79,DePaul,71,OT,
Sat Feb 2 2013,St. John's (NY),56,Georgetown,68,,
Sat Feb 2 2013,Syracuse,55,Pittsburgh,65,,
Sat Feb 2 2013,Cincinnati,65,Seton Hall,59,,
Sun Feb 3 2013,South Florida,64,Connecticut,69,OT,
Sun Feb 3 2013,Marquette,51,Louisville,70,,
Sun Feb 3 2013,Providence,55,Villanova,52,,
Mon Feb 4 2013,Seton Hall,46,Pittsburgh,56,,
Mon Feb 4 2013,Notre Dame,47,Syracuse,63,,
Tue Feb 5 2013,Villanova,94,DePaul,71,,
